1297,羽扇綸巾 ‧ 周瑜,火,人類,7,"[""修羅場"",""藍軍""]",FALSE,,"[{""name"":""雄烈之火"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     連續引爆火屬性以外的符石 3 次，並根據引爆的符石數量倍化自身攻擊力對敵方全體造成火屬性傷害。1 回合內，消除 8 粒或以上的火符石，火屬性攻擊力 1.5 倍     "",""tag"":[""引爆"",""多次引爆"",""火外符石引爆"",""直傷"",""增傷""]}]","[{""description"":""     ◆ 每首批消除 1 粒指定「藍軍」區域內的符石     ⇒ 提升「藍軍」成員攻擊力     ⇒ 首批消除 10 粒可達至最大 3 倍          ◆「藍軍」成員     ⇒ 「生命力、攻擊力及回復力」基值 1.3 倍     "",""activate"":""以潛能解放「藍軍」角色作隊長，且隊中有 ≥3 個「藍軍」成員"",""skill_tag"":[""增攻"",""增回"",""增血""],""activate_tag"":[""指定隊長"",""指定成員""],""relative"":[""藍軍""]}]",99,12,0,v13.00,,
1435,金糧神 ‧ 大黑天,光,神族,7,"[""修羅場""]",FALSE,,"[{""name"":""光靈加冕圍城"",""type"":""normal"",""charge"":""CD"",""num"":12,""description"":""     心符石轉化為心強化符石，同時將心以外的符石轉化為光強化符石     "",""tag"":[""符石轉光"",""符石轉光強化"",""符石轉心強化"",""水轉其他"",""火轉其他"",""木轉其他"",""暗轉其他"",""符石強化""]}]",[],99,12,0,v13.10,,
1462,叛逆帝王 ‧ 莫德雷德,水,人類,7,"[""修羅場""]",FALSE,,"[{""name"":""傲浪之濤"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     I. 將水符石添加為人族符石     2 回合內     II. 每回合扣除 30% 總生命力，若隊伍回復力為 0     ⇒ 則不會扣除生命力     III. 水屬性成員攻擊力 2.25 倍     "",""tag"":[""人族符石製造"",[""我方扣血"",2],[""增傷"",2]]}]",[],99,12,0,v13.20,,
1520,六絃之首 ‧ 蒼,光,人類,7,"[""修羅場""]",TRUE,,"[{""name"":""怒海蒼流"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     光屬性攻擊力 1.5 倍及光屬性人類攻擊力 2 倍；效果持續至沒有首批消除所有光符石     "",""tag"":[[""增傷"",-1]]}]",[],99,12,0,v13.40,,
1556,無知的天真 ‧ 海豚座絲諾,水,妖精類,7,"[""修羅場""]",FALSE,,"[{""name"":""海之盟誓"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     每回合移動符石前，出現隨機 4 至 6 的連擊 (Combo) 數，當達成指定連擊 (Combo) 時(只計算首批消除的符石)，水屬性攻擊力 2 倍及回復 5000 點生命力，效果持續至沒有達成指定連擊 (Combo) 數目     "",""tag"":[[""回血"",-1],[""增傷"",-1],""頭像狀態""]}]",[],99,12,0,v14.00,,
1581,八咫鏡之守護 ‧ 神樂千鶴,木,人類,7,"[""修羅場"",""拳皇""]",TRUE,,"[{""name"":""裏面八拾五活 ‧ 零技之礎"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     水、光及心符石轉化為心強化符石。1 回合內，心符石兼具所有屬性符石效果     "",""tag"":[""符石轉心"",""符石轉心強化"",""水轉其他"",""光轉其他"",""符石兼具水"",""符石兼具火"",""符石兼具木"",""符石兼具光"",""符石兼具暗""]}]","[{""description"":""     ◆ 最左方的「烈陽赤炎 ‧ 草薙京」、最左方的「紫藍之月 ‧ 八神庵」及最左方的「八咫鏡之守護 ‧ 神樂千鶴」     ⇒ 攻擊力基值 1.3 倍     "",""activate"":""以「烈陽赤炎 ‧ 草薙京」、「紫藍之月 ‧ 八神庵」及「八咫鏡之守護 ‧ 神樂千鶴」作成員"",""skill_tag"":[""增攻""],""activate_tag"":[""指定成員""],""relative"":[1572,1575,1581]},{""description"":""     ◆ 所有成員     ⇒ 「生命力、1655,統覺進化 ‧ 莫爾迪基安,水,魔族,7,"[""修羅場""]",FALSE,,"[{""name"":""陰寒狂潮"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     隨機將 2 個魔族成員所在隊伍欄直行的符石轉化為水符石；2 回合內，全隊攻擊力 1.5 倍，且水屬性傷害可剋制木屬性目標     "",""tag"":[""符石轉水"",[""增傷"",2],[""屬性剋制改變"",2]]}]",[],99,12,0,v14.30,,
1690,好運常在 ‧ 張遼,水,人類,7,"[""修羅場"",""紅軍""]",FALSE,,"[{""name"":""奪魂鐮刃"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     隨機將 6 粒符石轉化為水人族符石；1 回合內，達成 6 連擊 (Combo) 或以上時，自身攻擊力 6 倍     "",""tag"":[""符石轉水"",""增傷"",""界王拳"",""人族符石製造""]}]","[{""description"":""     ◆ 每首批消除 1 粒「紅軍」區域內的符石     ⇒ 提升「紅軍」成員攻擊力     ⇒ 首批消除 10 粒可達至最大 3 倍          ◆ 無視「黏腐」敵技     "",""activate"":""以潛能解放「紅軍」角色作隊長，且隊伍中有 ≥3 個「紅軍」成員"",""skill_tag"":[""增攻""],""activate_tag"":[""指定隊長"",""指定成員""],""relative"":[""紅軍""]},{""description"":""     ◆ 火符石兼具其他屬性符石效果     "",""activate"":""以「霸業魔政 ‧ 曹操」作隊長及戰友；且隊伍中有 ≥3 個「紅軍」成員"",""skill_tag"":[""火1738,勝臨之機銳槍 ‧ 岡尼爾,光,人類,7,"[""修羅場""]",TRUE,,"[{""name"":""英勝之豪突"",""type"":""normal"",""charge"":""CD"",""num"":7,""description"":""     木符石轉化為光強化符石。引爆心符石以掉落木以外的符石及提升自身攻擊力，引爆 5 粒可達至最大 6 倍 (倍攻效果持續 2 回合)     "",""tag"":[""木轉其他"",""符石轉光"",""符石轉光強化"",""引爆"",""心符石引爆"",""引爆強制掉落"",[""增傷"",2],[""界王拳"",2]]}]",[],99,12,0,v15.20,,
1799,黃泉,木,妖精類,6,"[""修羅場""]",TRUE,,"[{""name"":""魔古忌流煉破反衝壁"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     木符石添加為妖族符石；1 回合內，吸收本回合敵人首次攻擊傷害，並以所吸收攻擊力的 50 倍對其進行木屬性反擊     "",""tag"":[""妖族符石製造"",""敵方傷害吸收"",""反擊""]},{""name"":""千年 ‧ 夥伴"",""type"":""combine"",""member"":[1790,1799],""charge"":""CD"",""num"":-1,""description"":""     所有符石隨機轉換，同時木及心符石出現率上升，並將木及心符石分別以木妖族強化及心妖族強化符石代替。1 回合內，吸收本回合敵人首次『攻擊傷害、「喋血屠刀」等扣除召喚師指定 % 生命力的敵技所造成的傷害』，並以所吸收攻擊力的 100 倍對其進行木屬性反擊     "",""tag"":[""大幅轉版"",""符石轉木強化"",""符石轉心強化"",""妖族符石製造"",""敵方傷害吸收"",""反擊""]}]","[{""descr1856,富悅財婪 ‧ 俱毗羅,光,神族,7,"[""修羅場""]",FALSE,,"[{""name"":""永生之護"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     若全隊均為神族成員：2 回合內，減少 80% 所受傷害，隊長及戰友攻擊力提升 3.5 倍；反之，2 回合內，減少 50% 所受傷害，隊長及戰友攻擊力提升 2 倍     "",""tag"":[[""減傷"",2],[""增傷"",2],[""界王拳"",2]]}]",[],99,12,0,v16.00,,
1984,馥郁芳香 ‧ 九天玄女,光,神族,7,"[""修羅場""]",FALSE,,"[{""name"":""仙女下凡"",""type"":""normal"",""charge"":""CD"",""num"":7,""description"":""     隨機將 9 粒符石轉化為 3 粒光神族強化、3 粒暗神族強化及 3 粒心神族強化符石。1 回合內，連擊 (Combo) 數目增加 9     "",""tag"":[""符石轉光"",""符石轉光強化"",""符石轉暗"",""符石轉暗強化"",""符石轉心"",""符石轉心強化"",""增加Combo"",""神族符石製造""]}]",[],99,12,0,v16.30,,
2026,最後的審判 ‧ 米開朗基羅,木,人類,7,"[""修羅場""]",FALSE,,"[{""name"":""傲雅之森"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     心符石兼具木符石效果，隊長及戰友攻擊力 1.5 倍，效果持續至沒有達成 6 連擊 (Combo) 或以上     "",""tag"":[[""符石兼具木"",-1],[""增傷"",-1],[""界王拳"",-1]]}]",[],99,12,0,v17.00,,
