56,冰原地精,水,妖精類,2,"[""地精""]",FALSE,,"[{""name"":""寒冰一擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 5 倍水屬性傷害     "",""tag"":[""直傷""]}]",[],15,5,0,v1.00,,
57,淵寒大地精,水,妖精類,3,"[""地精""]",FALSE,,"[{""name"":""攻擊姿勢 ‧ 水"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     心符石轉化為水符石     "",""tag"":[""符石轉水"",""心轉其他""]}]","[{""description"":""     ◆ 隊員攻擊力基值 10 倍     "",""activate"":""以「萬魔之王 ‧ 薩魯曼」作隊長，並以 4 個 3 星「地精」系列的角色作隊員；或以「萬魔主宰 ‧ 薩魯曼」作隊長，並以 4 個 3 星「地精」系列的角色作隊員"",""skill_tag"":[""增攻""],""activate_tag"":[""指定隊長"",""指定成員""],""relative"":[57,59,61,63,65,286,674]}]",50,10,0,v1.00,,
58,火山地精,火,妖精類,2,"[""地精""]",FALSE,,"[{""name"":""烈炎一擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 5 倍火屬性傷害     "",""tag"":[""直傷""]}]",[],15,5,0,v1.00,,
59,熾岩大地精,火,妖精類,3,"[""地精""]",FALSE,,"[{""name"":""攻擊姿勢 ‧ 火"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     心符石轉化為火符石     "",""tag"":[""符石轉火"",""心轉其他""]}]","[{""description"":""     ◆ 隊員攻擊力基值 10 倍     "",""activate"":""以「萬魔之王 ‧ 薩魯曼」作隊長，並以 4 個 3 星「地精」系列的角色作隊員；或以「萬魔主宰 ‧ 薩魯曼」作隊長，並以 4 個 3 星「地精」系列的角色作隊員"",""skill_tag"":[""增攻""],""activate_tag"":[""指定隊長"",""指定成員""],""relative"":[57,59,61,63,65,286,674]}]",50,10,0,v1.00,,
60,森林地精,木,妖精類,2,"[""地精""]",FALSE,,"[{""name"":""旋風一擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 5 倍木屬性傷害     "",""tag"":[""直傷""]}]",[],15,5,0,v1.00,,
61,碧石大地精,木,妖精類,3,"[""地精""]",FALSE,,"[{""name"":""攻擊姿勢 ‧ 木"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     心符石轉化為木符石     "",""tag"":[""符石轉木"",""心轉其他""]}]","[{""description"":""     ◆ 隊員攻擊力基值 10 倍     "",""activate"":""以「萬魔之王 ‧ 薩魯曼」作隊長，並以 4 個 3 星「地精」系列的角色作隊員；或以「萬魔主宰 ‧ 薩魯曼」作隊長，並以 4 個 3 星「地精」系列的角色作隊員"",""skill_tag"":[""增攻""],""activate_tag"":[""指定隊長"",""指定成員""],""relative"":[57,59,61,63,65,286,674]}]",50,10,0,v1.00,,
62,光明地精,光,妖精類,2,"[""地精""]",FALSE,,"[{""name"":""金光一擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 5 倍光屬性傷害     "",""tag"":[""直傷""]}]",[],15,5,0,v1.00,,
63,輝芒大地精,光,妖精類,3,"[""地精""]",FALSE,,"[{""name"":""攻擊姿勢 ‧ 光"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     心符石轉化為光符石     "",""tag"":[""符石轉光"",""心轉其他""]}]","[{""description"":""     ◆ 隊員攻擊力基值 10 倍     "",""activate"":""以「萬魔之王 ‧ 薩魯曼」作隊長，並以 4 個 3 星「地精」系列的角色作隊員；或以「萬魔主宰 ‧ 薩魯曼」作隊長，並以 4 個 3 星「地精」系列的角色作隊員"",""skill_tag"":[""增攻""],""activate_tag"":[""指定隊長"",""指定成員""],""relative"":[57,59,61,63,65,286,674]}]",50,10,0,v1.00,,
64,黑暗地精,暗,妖精類,2,"[""地精""]",FALSE,,"[{""name"":""暗色一擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 5 倍暗屬性傷害     "",""tag"":[""直傷""]}]",[],15,5,0,v1.00,,
65,冥土大地精,暗,妖精類,3,"[""地精""]",FALSE,,"[{""name"":""攻擊姿勢 ‧ 暗"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     心符石轉化為暗符石     "",""tag"":[""符石轉暗"",""心轉其他""]}]","[{""description"":""     ◆ 隊員攻擊力基值 10 倍     "",""activate"":""以「萬魔之王 ‧ 薩魯曼」作隊長，並以 4 個 3 星「地精」系列的角色作隊員；或以「萬魔主宰 ‧ 薩魯曼」作隊長，並以 4 個 3 星「地精」系列的角色作隊員"",""skill_tag"":[""增攻""],""activate_tag"":[""指定隊長"",""指定成員""],""relative"":[57,59,61,63,65,286,674]}]",50,10,0,v1.00,,
