1292,蒼生之龍 ‧ 趙雲,水,龍類,7,"[""討伐戰"",""綠軍""]",FALSE,,"[{""name"":""子龍兇勢、子龍兇勢"",""type"":""normal"",""charge"":""CD"",""num"":7,""description"":""     每次只能選取 1 個效果。          效果1：     延遲全體敵人行動 1 回合          效果2：     15 秒內，可任意移動符石而不會發動消除     "",""tag"":[""排珠"",""延遲"",""敵身狀態""]}]","[{""description"":""     ◆ 每首批消除 1 粒指定「綠軍」區域內的符石     ⇒ 提升「綠軍」成員攻擊力     ⇒ 首批消除 10 粒可達至最大 3 倍          ◆ 消除 ≥3 種符石時，「綠軍」成員額外追打 50% 攻擊 1 次     "",""activate"":""以潛能解放「綠軍」角色作隊長，且隊中有 ≥3 個「綠軍」成員"",""skill_tag"":[""增攻"",""水屬追打""],""activate_tag"":[""指定隊長"",""指定成員""],""relative"":[""綠軍""]}]",99,12,0,v13.00,,
1465,深淵魔女 ‧ 摩根勒菲,暗,妖精類,7,"[""討伐戰""]",FALSE,,"[{""name"":""緩兵術"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     延長所有敵人行動 1 回合。將技能冷卻中的成員 (不包括自己) 所在隊伍欄直行的符石轉化為心符石     "",""tag"":[""符石轉心"",""延遲"",""敵身狀態""]}]",[],99,12,0,v13.20,,
1555,疾馳傳訊 ‧ 天馬座珀伽索斯,暗,獸類,7,"[""討伐戰""]",FALSE,,"[{""name"":""暴烈之鎧"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     自身攻擊力 3 倍，每回合扣除 20% 總生命力，並在每回合發動攻擊後提升自身攻擊力 1 倍 (需要消除符石)，最大可提升至 8 倍。效果會在再次發動此技能或死亡後消失     "",""tag"":[[""我方扣血"",-1],[""增傷"",-1],[""界王拳"",-1],""頭像狀態""]}]","[{""description"":""     ◆ 所有成員回復力基值 1.5 倍     "",""activate"":""以「疾馳傳訊 ‧ 天馬座珀伽索斯」作成員，且隊中只有暗屬性獸類成員"",""skill_tag"":[""增回""],""activate_tag"":[""指定屬性成員"",""指定種族成員""],""relative"":[1555]}]",99,12,0,v14.00,,
1586,極藍震動 ‧ 果凍,水,妖精類,6,"[""討伐戰""]",FALSE,,"[{""name"":""吞噬之藍"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     3 回合內，水屬性及妖精類攻擊力 1.5 倍；水屬性妖精攻擊力提升至 2.25 倍。發動技能時若生命力未滿，效果持續期間每回合回復 8000 點生命力     "",""tag"":[[""回血"",3],[""增傷"",3]]}]",[],99,12,0,v14.10,,
1620,慈愛扎根 ‧ 千歲蘭,木,魔族,7,"[""討伐戰""]",FALSE,,"[{""name"":""王之恩澤"",""type"":""normal"",""charge"":""CD"",""num"":7,""description"":""     1 回合內，發動技能時攻擊力基值為 1500 以下的成員，自身攻擊力 4 倍；攻擊力基值為 1500 或以上的成員則追打暗屬性攻擊 1 次     "",""tag"":[""暗屬追打"",""增傷"",""界王拳""]}]",[],99,12,0,v14.20,,
1656,元素連結 ‧ 塔維爾,暗,人類,7,"[""討伐戰""]",FALSE,,"[{""name"":""元素眷佑 ‧ 聖光"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     自身攻擊力 2 倍及個人追打光屬性攻擊 1 次，效果持續至自身沒有發動攻擊     "",""tag"":[[""自身追打"",-1],[""光屬追打"",-1],[""增傷"",-1],[""界王拳"",-1]]}]",[],99,12,0,v14.30,,
1691,老奸巨猾 ‧ 董卓,暗,人類,7,"[""討伐戰""]",FALSE,,"[{""name"":""順我者昌"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     1 回合內，本回合發動過技能的成員追打自身攻擊力 4 倍的暗屬性攻擊 1 次     "",""tag"":[""暗屬追打"",""增傷"",""界王拳""]}]",[],99,12,0,v15.00,,
1772,尼特羅,光,人類,7,"[""討伐戰""]",TRUE,,"[{""name"":""百式觀音"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     水、火、木符石轉化為光符石，暗符石轉化為心符石；並將光及心符石轉化為強化符石；1 回合內，以 10% 自身攻擊力追打光屬性攻擊 10 次；下回合自身不能發動攻擊     "",""tag"":[""符石轉光"",""符石轉光強化"",""符石轉心"",""符石轉心強化"",""水轉其他"",""火轉其他"",""木轉其他"",""暗轉其他"",""自身追打"",""光屬追打"",""符石強化"",""限制成員攻擊""]}]","[{""description"":""     ◆ 獲得念能力 - 【圓】：解除「幽閉空間」及隱藏符石狀態。     於回合開始時點擊已儲滿的龍脈儀可觸發念能力 (需消耗 50% 龍脈儀能量)     "",""activate"":""以「梅路艾姆」或「尼特羅」作隊長"",""skill_tag"":[""龍脈儀能力""],""activate_tag"":[""指定隊長""],""relative"":[1771,1772]}]",99,12,0,v15.30,,
1855,無限知性 ‧ 莎塔如帕,暗,神族,7,"[""討伐戰""]",FALSE,,"[{""name"":""無我之力"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     自身以外所有成員的攻擊力 2 倍。若隊伍中沒有「唯識無境 ‧ 梵天」，受到的傷害提升 1.5 倍。(效果會在再次發動此技能或死亡後消失)     "",""tag"":[[""增傷"",-1],[""我方受傷增加"",-1],""頭像狀態""]}]",[],99,12,0,v16.00,,
1892,毀滅者 ‧ 機動要塞,水,機械族,7,"[""討伐戰""]",TRUE,,"[{""name"":""日冕礦石"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     1 回合內，個人追打自身攻擊力 1.5 倍的隨機屬性攻擊 1 至 5 次，自身行動值達 100% 時，必定追打 5 次。隊伍中每多 1 個機械族成員可額外增加 1 回合效果，最多持續 6 回合     "",""tag"":[[""自身追打"",6],[""水屬追打"",6],[""火屬追打"",6],[""木屬追打"",6],[""光屬追打"",6],[""暗屬追打"",6],[""五屬追打"",6],[""增傷"",6],[""界王拳"",6]]}]",[],99,12,0,v16.10,,
1966,闇之翼 ‧ 亞克諾羅基亞,暗,龍類,7,"[""討伐戰""]",TRUE,,"[{""name"":""黑龍的咆哮"",""type"":""normal"",""charge"":""CD"",""num"":9,""description"":""     隊伍中只有龍類成員才可發動此技能：1 回合內，其他屬性符石兼具 50% 暗符石效果 (可疊加)；自身攻擊力 10 倍；暗屬性龍類以外成員不能發動攻擊     "",""tag"":[""符石兼具暗"",""增傷"",""界王拳"",""限制成員攻擊""]}]",[],99,12,0,v16.30,,
