kill,teamSkill,maxLevel,maxSkill,maxRefine,version,board,specialImage
[{""name"":"""",""type"":""normal"",""charge"":"""",""num"":0,""description"":""          "",""tag"":[]
[{""name"":""符石解放 ‧ 水"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     直接引爆木符石造成敵全體水屬性傷害     "",""tag"":[""引爆"",""木符石引爆"",""直傷""]
[{""name"":""符石解放 ‧ 水"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     直接引爆木符石造成敵全體水屬性傷害     "",""tag"":[""引爆"",""木符石引爆"",""直傷""]
[{""name"":""符石解放 ‧ 水"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     直接引爆木符石造成敵全體水屬性傷害     "",""tag"":[""引爆"",""木符石引爆"",""直傷""]
[{""name"":""符石激發 ‧ 水"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     直接引爆木符石造成敵全體水屬性傷害，並產生強化符石     "",""tag"":[""引爆"",""木符石引爆"",""直傷""]
[{""name"":""符石解放 ‧ 火"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     直接引爆水符石造成敵全體火屬性傷害     "",""tag"":[""引爆"",""水符石引爆"",""直傷""]
[{""name"":""符石解放 ‧ 火"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     直接引爆水符石造成敵全體火屬性傷害     "",""tag"":[""引爆"",""水符石引爆"",""直傷""]
[{""name"":""符石解放 ‧ 火"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     直接引爆水符石造成敵全體火屬性傷害     "",""tag"":[""引爆"",""水符石引爆"",""直傷""]
[{""name"":""符石激發 ‧ 火"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     直接引爆水符石造成敵全體火屬性傷害，並產生強化符石     "",""tag"":[""引爆"",""水符石引爆"",""直傷""]
[{""name"":""符石解放 ‧ 木"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     直接引爆火符石造成敵全體木屬性傷害     "",""tag"":[""引爆"",""火符石引爆"",""直傷""]
[{""name"":""符石解放 ‧ 木"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     直接引爆火符石造成敵全體木屬性傷害     "",""tag"":[""引爆"",""火符石引爆"",""直傷""]
[{""name"":""符石解放 ‧ 木"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     直接引爆火符石造成敵全體木屬性傷害     "",""tag"":[""引爆"",""火符石引爆"",""直傷""]
[{""name"":""符石激發 ‧ 木"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     直接引爆火符石造成敵全體木屬性傷害，並產生強化符石     "",""tag"":[""引爆"",""火符石引爆"",""直傷""]
[{""name"":""符石解放 ‧ 光"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     直接引爆暗符石造成敵全體光屬性傷害     "",""tag"":[""引爆"",""暗符石引爆"",""直傷""]
[{""name"":""符石解放 ‧ 光"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     直接引爆暗符石造成敵全體光屬性傷害     "",""tag"":[""引爆"",""暗符石引爆"",""直傷""]
[{""name"":""符石解放 ‧ 光"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     直接引爆暗符石造成敵全體光屬性傷害     "",""tag"":[""引爆"",""暗符石引爆"",""直傷""]
